Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,neutral,editing,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.826189082989,217.82575116597582,217.90918037499068,None,q,217.90918037499068,None,0.8792349580326118,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
20,negative,fearful,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,5,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.80965229100548,219.80918012501206,219.89256283297436,None,n,219.89256283297436,None,0.9156913330079988,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
13,negative,stressed,n',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.82628979097353,221.82622474996606,221.9094119159854,None,n,221.9094119159854,None,0.8037317490088753,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
14,negative,guilty,n',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.74272599996766,223.74270229099784,223.82629150000867,None,n,223.82629150000867,None,0.7689811250311323,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
18,negative,victimised,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.62637741595972,225.62635295797372,225.70962275000056,None,n,225.70962275000056,None,0.8788564999704249,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
15,negative,hostile,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.61001441598637,227.61001483298605,227.69329841597937,None,n,227.69329841597937,None,0.9612242910079658,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
12,negative,annoyed,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.67640662495978,229.67653720796807,229.7594597080024,None,n,229.7594597080024,None,0.8110047500231303,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
2,neutral,syllabus,q',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.59277891600505,231.59311437496217,231.67629383300664,None,q,231.67629383300664,None,0.7973200830165297,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
6,neutral,style,q',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.49329595797462,233.49287216598168,233.57639254099922,None,q,233.57639254099922,None,0.7812041670549661,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
11,negative,critical,n',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.3768839999684,235.3762820409611,235.46052066597622,None,None,235.46052066597622,236.4599092080025,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
19,negative,tired,n',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,14,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.9597128329915,237.9597270829836,238.04302654101048,236.9597128329915,None,238.04302654101048,239.04328958300175,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
9,neutral,photo,q',,"(100, 0, 0)",,,,,,,,,,,,,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.5428921249695,240.54308329097694,240.6263536660117,239.5428921249695,q,240.6263536660117,None,0.8112777080386877,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
4,neutral,vegetable,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.46016345795942,242.45982633298263,242.54338020796422,None,q,242.54338020796422,None,0.9191490830271505,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
5,neutral,glasses,q',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.49340616597328,244.49387162498897,244.57658216595883,None,None,244.57658216595883,245.5764344999916,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
8,neutral,seventeen,q',,"(0, 100, 0)",,,,,,,,,,,,,,,,,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0768850829918,247.07735391601454,247.16018404101487,246.0768850829918,q,247.16018404101487,None,0.7286015000427142,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
1,neutral,design,q',,"(0, 0, 100)",,,,,,,,,,,,,,,,,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.91043858299963,248.9102041249862,248.99334320798516,None,q,248.99334320798516,None,0.6992491250275634,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.7105254579801,None,space,2.2848236660356633,249.7105254579801,None,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
