Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
17,neutral,participating,q',,"(0, 100, 0)",,,,,,,,,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.85119675006717,186.85075570899062,186.93455058406107,None,None,,186.93455058406107,187.93511891702656,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
11,neutral,language,q',,"(0, 100, 0)",,,,,,,,,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.4339093749877,189.4341603340581,189.5176177920075,188.4339093749877,p,0.6884633740410209,189.5176177920075,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
2,positive,glad,p',,"(0, 100, 0)",,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.23430979205295,191.23474841704592,191.31802383402828,None,p,0.8731511660153046,191.31802383402828,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
5,positive,amazed,p',,"(0, 100, 0)",,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2191417090362,193.21756433404516,193.31757158401888,None,p,0.7366295410320163,193.31757158401888,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
3,positive,happy,p',,"(100, 0, 0)",,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.08491054200567,195.08429008407984,195.1678894170327,None,p,0.932231331942603,195.1678894170327,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
13,neutral,numbers,q',,"(0, 0, 100)",,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.1182431250345,197.11787945905235,197.2020332920365,None,q,0.874260374926962,197.2020332920365,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
8,positive,free,p',,"(0, 100, 0)",,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.10092175006866,199.1012246250175,199.18491333408747,None,p,0.8693032069131732,199.18491333408747,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
19,neutral,telephone,q',,"(100, 0, 0)",,,,,,,,,,,,,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0847202920122,201.08518466702662,201.1678062500432,None,q,0.92856562405359,201.1678062500432,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
9,positive,joyful,p',,"(100, 0, 0)",,,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.11832916701678,203.11806858400814,203.20215595897753,None,p,0.7311135000782087,203.20215595897753,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
20,neutral,carbonate,q',,"(100, 0, 0)",,,,,,,,,,,,,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.95167058403604,204.95145654201042,205.03452920902055,None,None,,205.03452920902055,206.0345230420353,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
10,positive,calm,p',,"(0, 0, 100)",,,,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5344227090245,207.5346918340074,207.61783233401366,206.5344227090245,p,0.9277181660290807,207.61783233401366,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
6,positive,valued,p',,"(100, 0, 0)",,,,,,,,,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.5677687090356,209.56797933403868,209.65189762506634,None,p,0.7776698330417275,209.65189762506634,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
18,neutral,collecting,q',,"(100, 0, 0)",,,,,,,,,,,,,0,13,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.45247154205572,211.4517287920462,211.53519266704097,None,q,0.9604198319138959,211.53519266704097,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
1,positive,proud,p',,"(0, 0, 100)",,,,,,,,,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.5181275419891,213.5181478339946,213.60170641704462,None,p,0.6447378740413114,213.60170641704462,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
15,neutral,moderate,q',,"(100, 0, 0)",,,,,,,,,,,,,0,15,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.26858837506734,215.2684221250238,215.3519484170247,None,q,0.9435557500692084,215.3519484170247,None,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
